src_ip,dst_ip,src_port,dst_port,proto,ip_version,service,duration,total_packets,total_bytes,a_to_b_packets,b_to_a_packets,a_to_b_bytes,b_to_a_bytes,a_to_b_packet_ratio,b_to_a_packet_ratio,packets_per_second,bytes_per_second,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,src_is_private,dst_is_private,both_private
192.168.1.173,209.9.200.159,53459,6001,tcp,ipv4,custom_tcp_6001,60.49966812133789,17,1062,9,8,534,528,0.5294117647058824,0.47058823529411764,0.2809932769532697,17.553815301433673,54,66,62.470588235294116,5.467741194645803,0,17,0,0,0,1,0,0
240e:393:3219:9550:709f:cf42:167a:72bc,240e:97c:2f:4000::3,62163,80,tcp,ipv6,http,60.06815004348755,6,1928,4,2,1046,882,0.6666666666666666,0.3333333333333333,0.09988654545971833,32.09687660772282,74,449,321.3333333333333,174.92156972642215,0,6,0,0,4,0,0,0
183.136.139.193,192.168.1.173,443,55957,tcp,ipv4,https,59.88958692550659,18,1236,9,9,615,621,0.5,0.5,0.30055308316601387,20.63797837739962,54,105,68.66666666666667,15.48834687398525,0,15,2,3,3,0,1,0
122.246.2.26,192.168.1.173,443,55993,tcp,ipv4,https,59.860990047454834,18,1134,9,9,573,561,0.5,0.5,0.30069666381612614,18.943889820415947,54,93,63.0,12.0,0,15,2,3,3,0,1,0
192.168.1.102,192.168.1.173,5353,5353,udp,ipv4,mdns,59.80386304855347,2,920,0,2,0,920,0.0,1.0,0.03344265567554128,15.383621610748989,460,460,460.0,0.0,0,0,0,0,0,1,1,1
2406:da14:dd5:18fa:9272:277f:67e9:d954,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56261,tcp,ipv6,tcp_other,59.78142499923706,102,44159,49,53,20503,23656,0.4803921568627451,0.5196078431372549,1.7062156012724978,738.6742621234533,74,1506,432.9313725490196,523.3427673647722,2,101,0,0,44,0,0,0
183.136.139.197,192.168.1.173,443,56020,tcp,ipv4,https,59.77522683143616,18,1224,9,9,615,609,0.5,0.5,0.30112809192275103,20.476710250747068,54,105,68.0,15.329709716755891,0,15,2,3,3,0,1,0
192.168.1.128,224.0.0.251,5353,5353,udp,ipv4,mdns,53.34975814819336,26,6932,26,0,6932,0,1.0,0.0,0.4873499131482092,129.93498453628408,142,313,266.61538461538464,69.31149140104168,0,0,0,0,0,1,1,1
2406:da14:1cb0:deb9:1592:7d40:41d9:5445,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56245,tcp,ipv6,tcp_other,53.072856187820435,48,16767,20,28,10117,6650,0.4166666666666667,0.5833333333333334,0.9044171248317969,315.92420691780706,74,1506,349.3125,485.4965308943172,2,47,2,0,12,0,0,0
192.168.1.173,27.155.121.171,6259,11452,udp,ipv4,udp_other,51.67312788963318,6,453,3,3,216,237,0.5,0.5,0.11611451145003626,8.766645614477738,72,79,75.5,3.5,0,0,0,0,0,1,0,0
